Node,CPU_Usage_Cores,CPU_Usage_Pct,Memory_Usage_Bytes,Memory_Usage_Pct
bab-dev-aro-01-zm4qv-master-0,8735.0000,54,25719472128,41
bab-dev-aro-01-zm4qv-master-1,3383.0000,21,20351811584,32
bab-dev-aro-01-zm4qv-master-2,3899.0000,24,24968691712,40
bab-dev-aro-01-zm4qv-worker-rpa-swec-01-979xq,1249.0000,3,18382585856,29
bab-dev-aro-01-zm4qv-worker-rpa-swec-02-s9mnt,760.0000,2,17208180736,27
bab-dev-aro-01-zm4qv-worker-swec-01-h4skf,2776.0000,17,48092938240,38
bab-dev-aro-01-zm4qv-worker-swec-02-65kw7,3123.0000,19,34199306240,27
bab-dev-aro-01-zm4qv-worker-swec-03-pdt28,2954.0000,18,25667043328,20
bab-dev-aro-01-zm4qv-worker-swec-04-25fmv,1959.0000,12,26133659648,20
bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r,1577.0000,9,32105299968,25
bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6,6069.0000,38,34620833792,27
bab-dev-aro-01-zm4qv-worker-swec-07-48zfr,1400.0000,8,44028657664,35
bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp,1922.0000,12,37491834880,29
bab-dev-aro-01-zm4qv-worker-swec-09-7d9zr,1107.0000,6,19285409792,15
bab-dev-aro-01-zm4qv-worker-swec-10-62m4m,1029.0000,6,23818403840,19
bab-dev-aro-01-zm4qv-worker-swec-11-tqb4f,1233.0000,7,22572695552,18
