Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
babamldev,Deployment/sas-device-management,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-feature-flags,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-file-store,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-geography,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-graph-templates,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-job-flow-scheduling,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-list-data,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-localization,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-ml-pipeline-automation,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-model-management,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-model-publish,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-model-repository,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-preferences,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-report-alerts,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-report-distribution,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-report-renderers,1,0.1000,0.4004,0.1000,0.4004,SHARED
babamldev,Deployment/sas-score-definitions,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-score-execution,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-search,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-studio,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-text-analytics-taxonomies,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-visual-analytics-app,1,0.1000,0.0879,0.1000,0.0879,SHARED
babamldev,Deployment/sas-web-renderer,1,0.1000,0.4004,0.1000,0.4004,SHARED
babamldev,Deployment/sas-webhooks,1,0.1000,0.0879,0.1000,0.0879,SHARED
default,Deployment/prometheus-operator,1,0.1000,0.0977,0.1000,0.0977,SHARED
openshift-azure-guardrails,Deployment/gatekeeper-audit,1,0.1000,0.5000,0.1000,0.5000,SHARED
openshift-cluster-observability-operator,Deployment/obo-prometheus-operator-admission-webhook,2,0.0500,0.0488,0.1000,0.0977,SHARED
openshift-keda,Deployment/custom-metrics-autoscaler-operator,1,0.1000,0.0977,0.1000,0.0977,SHARED
openshift-keda,Deployment/keda-admission,1,0.1000,0.0977,0.1000,0.0977,SHARED
openshift-keda,Deployment/keda-metrics-apiserver,1,0.1000,0.0977,0.1000,0.0977,SHARED
openshift-keda,Deployment/keda-operator,1,0.1000,0.0977,0.1000,0.0977,SHARED
openshift-mta,Deployment/mta-keycloak-postgresql-15,1,0.1000,0.3418,0.1000,0.3418,SHARED
openshift-mta,Deployment/mta-ui,1,0.1000,0.3418,0.1000,0.3418,SHARED
openshift-tempo-operator,Deployment/tempo-operator-controller,1,0.1000,0.0625,0.1000,0.0625,SHARED
rhacs-operator,Deployment/rhacs-operator-controller-manager,1,0.1000,0.1953,0.1000,0.1953,SHARED
bab-devops-sonarqube,StatefulSet/sonarqube-postgresql,1,0.1000,0.1953,0.1000,0.1953,SHARED
babamldev,StatefulSet/sas-redis-server,2,0.0500,0.2930,0.1000,0.5859,DEDICATED
bab-dev-observe,Deployment/tempo-dev-tempo-compactor,1,0.0900,0.1530,0.0900,0.1530,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-mgmt-s3proxy,1,0.0800,0.0469,0.0800,0.0469,SHARED
bab-dev-cp4i,Deployment/ibm-apiconnect,1,0.0750,0.1250,0.0750,0.1250,SHARED
babamldev,Deployment/sas-connect-spawner,1,0.0750,0.1250,0.0750,0.1250,SHARED
bab-dev-observe,Deployment/tempo-dev-tempo-query-frontend,1,0.0720,0.0540,0.0720,0.0540,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-ui,1,0.0700,0.1250,0.0700,0.1250,SHARED
openshift-machine-api,Deployment/machine-api-controllers,1,0.0700,0.1367,0.0700,0.1367,SHARED
bab-dev-observe,Deployment/tempo-dev-tempo-querier,1,0.0540,0.1260,0.0540,0.1260,SHARED
bab-dev-cp4i,Deployment/apic-dev-a7s-director,1,0.0500,0.1250,0.0500,0.1250,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-collaboration,1,0.0500,0.2500,0.0500,0.2500,SHARED
babamldev,Deployment/sas-aml-core,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-analytics-gateway,1,0.0500,1.0000,0.0500,1.0000,SHARED
babamldev,Deployment/sas-arke,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-authorization,1,0.0500,1.0000,0.0500,1.0000,SHARED
babamldev,Deployment/sas-cas-control,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-cas-operator,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-code-debugger,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-code-debugger-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-credentials,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-data-agent-services,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-data-explorer-app,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-data-mining-risk-models,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-data-plans,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-data-server-operator,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-data-studio-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-decision-manager-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-decisions,1,0.0500,0.7500,0.0500,0.7500,SHARED
babamldev,Deployment/sas-decisions-framework,1,0.0500,0.7500,0.0500,0.7500,SHARED
babamldev,Deployment/sas-decisions-runtime-builder,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-document-generator-adapter,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-drive-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-environment-manager-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-files,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-graph-builder-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-identities,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-import-9,1,0.0500,1.0000,0.0500,1.0000,SHARED
babamldev,Deployment/sas-information-catalog-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-job-execution,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-job-execution-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-landing-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-launcher,1,0.0500,1.0000,0.0500,1.0000,SHARED
babamldev,Deployment/sas-lineage-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-mobile-investigator-app,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-model-manager-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-model-studio-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-natural-language-generation,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-office-addin-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-opendistro-operator,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-prepull,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-readiness,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-redis-operator,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-report-execution,1,0.0500,2.0000,0.0500,2.0000,SHARED
babamldev,Deployment/sas-report-services-group,1,0.0500,2.0000,0.0500,2.0000,SHARED
babamldev,Deployment/sas-scheduler,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-studio-app,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-studio-development,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-subject-contacts,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-svi-alert,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-svi-data-export,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-svi-datahub,1,0.0500,0.6348,0.0500,0.6348,SHARED
babamldev,Deployment/sas-svi-feature,1,0.0500,0.6348,0.0500,0.6348,SHARED
babamldev,Deployment/sas-svi-indexer,1,0.0500,0.6348,0.0500,0.6348,SHARED
babamldev,Deployment/sas-svi-sand,1,0.0500,0.6348,0.0500,0.6348,SHARED
babamldev,Deployment/sas-svi-scorecard,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-svi-transport,1,0.0500,0.6348,0.0500,0.6348,SHARED
babamldev,Deployment/sas-svi-vsd-service,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-text-analytics-data,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-theme-designer-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
babamldev,Deployment/sas-transfer,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-transformations,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-treatment-definitions,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-visual-investigator-app,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-workflow-engine,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-workflow-history,1,0.0500,0.6500,0.0500,0.6500,SHARED
babamldev,Deployment/sas-workflow-manager-app,1,0.0500,0.0488,0.0500,0.0488,SHARED
open-cluster-management-agent,Deployment/klusterlet,1,0.0500,0.0625,0.0500,0.0625,SHARED
openshift-cluster-csi-drivers,Deployment/csi-nfs-controller,1,0.0500,0.0977,0.0500,0.0977,SHARED
babamldev,StatefulSet/sas-data-agent-server-colocated,1,0.0500,0.6348,0.0500,0.6348,DEDICATED
bab-dev-cp4i,Deployment/apic-dev-mgmt-analytics-proxy,1,0.0400,0.1250,0.0400,0.1250,SHARED
bab-dev-rpa-apps-01,Deployment/pushgateway-prometheus-pushgateway,1,0.0400,0.0586,0.0400,0.0586,SHARED
openshift-machine-config-operator,Deployment/machine-config-controller,1,0.0400,0.0977,0.0400,0.0977,SHARED
openshift-machine-config-operator,Deployment/machine-config-operator,1,0.0400,0.0977,0.0400,0.0977,SHARED
openshift-multus,Deployment/multus-admission-controller,2,0.0200,0.0684,0.0400,0.1367,SHARED
openshift-ovn-kubernetes,Deployment/ovnkube-control-plane,2,0.0200,0.3125,0.0400,0.6250,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-mgmt-natscluster,1,0.0400,0.0156,0.0400,0.0156,SHARED
bab-dev-observe,Deployment/tempo-dev-tempo-gateway,1,0.0360,0.0450,0.0360,0.0450,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-juhu,1,0.0300,0.1875,0.0300,0.1875,SHARED
openshift-authentication,Deployment/oauth-openshift,3,0.0100,0.0488,0.0300,0.1465,SHARED
openshift-machine-api,Deployment/cluster-autoscaler-operator,1,0.0300,0.0684,0.0300,0.0684,SHARED
openshift-monitoring,Deployment/thanos-querier,2,0.0150,0.0898,0.0300,0.1797,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-analytics-ui,1,0.0200,0.0625,0.0200,0.0625,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-client-downloads-server,1,0.0200,0.0078,0.0200,0.0078,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-consumer-catalog,1,0.0200,0.0625,0.0200,0.0625,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-ldap,1,0.0200,0.0625,0.0200,0.0625,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-lur,1,0.0200,0.1250,0.0200,0.1250,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-websocket-proxy,1,0.0200,0.1250,0.0200,0.1250,SHARED
bab-dev-rpa-apps-01,Deployment/du-extended-ocr,2,0.0100,0.0625,0.0200,0.1250,SHARED
istio-dev,Deployment/grafana,1,0.0200,0.2500,0.0200,0.2500,SHARED
openshift-authentication-operator,Deployment/authentication-operator,1,0.0200,0.1953,0.0200,0.1953,SHARED
openshift-cloud-controller-manager-operator,Deployment/cluster-cloud-controller-manager-operator,1,0.0200,0.0732,0.0200,0.0732,SHARED
openshift-cloud-credential-operator,Deployment/cloud-credential-operator,1,0.0200,0.0391,0.0200,0.0391,SHARED
openshift-cluster-machine-approver,Deployment/machine-approver,1,0.0200,0.0684,0.0200,0.0684,SHARED
openshift-cluster-samples-operator,Deployment/cluster-samples-operator,1,0.0200,0.0977,0.0200,0.0977,SHARED
openshift-cluster-storage-operator,Deployment/csi-snapshot-controller,2,0.0100,0.0488,0.0200,0.0977,SHARED
openshift-cluster-storage-operator,Deployment/csi-snapshot-webhook,2,0.0100,0.0195,0.0200,0.0391,SHARED
openshift-cluster-version,Deployment/cluster-version-operator,1,0.0200,0.0488,0.0200,0.0488,SHARED
openshift-console-operator,Deployment/console-operator,1,0.0200,0.1953,0.0200,0.1953,SHARED
openshift-console,Deployment/console,2,0.0100,0.0977,0.0200,0.1953,SHARED
openshift-console,Deployment/downloads,2,0.0100,0.0488,0.0200,0.0977,SHARED
openshift-dns-operator,Deployment/dns-operator,1,0.0200,0.0674,0.0200,0.0674,SHARED
openshift-ingress-operator,Deployment/ingress-operator,1,0.0200,0.0938,0.0200,0.0938,SHARED
openshift-machine-api,Deployment/machine-api-operator,1,0.0200,0.0684,0.0200,0.0684,SHARED
openshift-managed-upgrade-operator,Deployment/managed-upgrade-operator,1,0.0200,0.0977,0.0200,0.0977,SHARED
openshift-monitoring,Deployment/monitoring-plugin,2,0.0100,0.0488,0.0200,0.0977,SHARED
openshift-operator-lifecycle-manager,Deployment/packageserver,2,0.0100,0.0488,0.0200,0.0977,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-ptl-nginx,1,0.0200,0.5000,0.0200,0.5000,SHARED
openshift-monitoring,StatefulSet/alertmanager-main,2,0.0090,0.1172,0.0180,0.2344,SHARED
bab-dev-cp4i,Deployment/cert-manager-operator-controller-manager,1,0.0100,0.0312,0.0100,0.0312,SHARED
bab-dev-rpa-apps-01,Deployment/reloader-reloader,1,0.0100,0.0977,0.0100,0.0977,SHARED
cert-manager-operator,Deployment/cert-manager-operator-controller-manager,1,0.0100,0.0312,0.0100,0.0312,SHARED
default,Deployment/reloader-reloader,1,0.0100,0.5000,0.0100,0.5000,SHARED
istio-dev,Deployment/istio-egressgateway,1,0.0100,0.1250,0.0100,0.1250,SHARED
istio-dev,Deployment/istio-ingressgateway,1,0.0100,0.1250,0.0100,0.1250,SHARED
istio-dev,Deployment/istiod-basic,1,0.0100,0.1250,0.0100,0.1250,SHARED
openshift-apiserver-operator,Deployment/openshift-apiserver-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-cloud-network-config-controller,Deployment/cloud-network-config-controller,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-cluster-csi-drivers,Deployment/azure-disk-csi-driver-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-cluster-csi-drivers,Deployment/azure-file-csi-driver-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-cluster-node-tuning-operator,Deployment/cluster-node-tuning-operator,1,0.0100,0.0195,0.0100,0.0195,SHARED
openshift-cluster-storage-operator,Deployment/cluster-storage-operator,1,0.0100,0.0195,0.0100,0.0195,SHARED
openshift-cluster-storage-operator,Deployment/csi-snapshot-controller-operator,1,0.0100,0.0635,0.0100,0.0635,SHARED
openshift-config-operator,Deployment/openshift-config-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-controller-manager-operator,Deployment/openshift-controller-manager-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-etcd-operator,Deployment/etcd-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-image-registry,Deployment/cluster-image-registry-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-insights,Deployment/insights-operator,1,0.0100,0.0293,0.0100,0.0293,SHARED
openshift-kube-apiserver-operator,Deployment/kube-apiserver-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-kube-controller-manager-operator,Deployment/kube-controller-manager-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-kube-scheduler-operator,Deployment/openshift-kube-scheduler-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-kube-storage-version-migrator-operator,Deployment/kube-storage-version-migrator-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-kube-storage-version-migrator,Deployment/migrator,1,0.0100,0.1953,0.0100,0.1953,SHARED
openshift-machine-api,Deployment/control-plane-machine-set-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-monitoring,Deployment/cluster-monitoring-operator,1,0.0100,0.0732,0.0100,0.0732,SHARED
openshift-monitoring,Deployment/prometheus-operator-admission-webhook,2,0.0050,0.0293,0.0100,0.0586,SHARED
openshift-mta,Deployment/mta-operator,1,0.0100,0.2500,0.0100,0.2500,SHARED
openshift-network-diagnostics,Deployment/network-check-source,1,0.0100,0.0391,0.0100,0.0391,SHARED
openshift-network-operator,Deployment/network-operator,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-operator-lifecycle-manager,Deployment/catalog-operator,1,0.0100,0.0781,0.0100,0.0781,SHARED
openshift-operator-lifecycle-manager,Deployment/olm-operator,1,0.0100,0.1562,0.0100,0.1562,SHARED
openshift-operator-lifecycle-manager,Deployment/package-server-manager,1,0.0100,0.0488,0.0100,0.0488,SHARED
openshift-service-ca-operator,Deployment/service-ca-operator,1,0.0100,0.0781,0.0100,0.0781,SHARED
openshift-service-ca,Deployment/service-ca,1,0.0100,0.1172,0.0100,0.1172,SHARED
bab-dev-cp4i,Deployment/apic-dev-mgmt-portal-proxy,1,0.0080,0.1250,0.0080,0.1250,SHARED
openshift-user-workload-monitoring,StatefulSet/thanos-ruler-user-workload,2,0.0040,0.0566,0.0080,0.1133,SHARED
open-cluster-management-agent,Deployment/klusterlet-agent,3,0.0020,0.0156,0.0060,0.0469,SHARED
openshift-monitoring,Deployment/prometheus-operator,1,0.0060,0.1611,0.0060,0.1611,SHARED
openshift-cluster-observability-operator,Deployment/obo-prometheus-operator,1,0.0050,0.1465,0.0050,0.1465,SHARED
openshift-cluster-observability-operator,Deployment/observability-operator,1,0.0050,0.0488,0.0050,0.0488,SHARED
openshift-monitoring,Deployment/kube-state-metrics,1,0.0040,0.1074,0.0040,0.1074,SHARED
openshift-monitoring,Deployment/openshift-state-metrics,1,0.0030,0.0703,0.0030,0.0703,SHARED
openshift-monitoring,Deployment/prometheus-adapter,2,0.0010,0.0391,0.0020,0.0781,SHARED
openshift-user-workload-monitoring,Deployment/prometheus-operator,1,0.0020,0.0264,0.0020,0.0264,SHARED
openshift-gitops-operator,Deployment/openshift-gitops-operator-controller-manager,1,0.0010,0.0146,0.0010,0.0146,SHARED
openshift-marketplace,Deployment/marketplace-operator,1,0.0010,0.0049,0.0010,0.0049,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-baas,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-bib,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-bib-liquibase,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-dev-sql,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-esignature-image,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-ibm,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-java-microservices,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-sit-sql,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-tosca,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-tosca-pwsh,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agent-trivy,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-bigid,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-checkmarx,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-jdk-21,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-nonprod-enjaz-website,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-srvnow,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-agents-trivy,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/azure-devops-cortex,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/network-analyser,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-azure-devops-agents,Deployment/nginx,0,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-cp4i,Deployment/get-moi-service-fee-is,0,0.3000,0.3594,0.0000,0.0000,SHARED
bab-dev-cp4i,Deployment/get-yakeen-info-is,0,0.3000,0.3594,0.0000,0.0000,SHARED
bab-dev-cp4i,Deployment/logger-is,0,0.3000,0.3594,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/ucapi,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/ucapi-nginx-reverse-proxy,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-postgresql-camunda-pgpool,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-postgresql-user-manager-pgpool,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/accountservices,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/arxidam,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/arxsso,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/arxwebapp,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/baseimage,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/cbxflash,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/cpadminservicescbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/dtbwebappcbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/entlwebcbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/ofapplication,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentsalertservice,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentschargesservice,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentservice,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentservicescbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentsinquiryservice,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/paymentsonboardingservice,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/pncweb,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/producttourcbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/statementservicescbx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-newbib,Deployment/xxarxidamxx,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-observe,Deployment/dev-baas-collector,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-rpa-apps-01,Deployment/demo-app,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-rpa-apps-01,Deployment/du-extended-ocr-proxy,2,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-web-baas,Deployment/active-directory-service,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-web-baas,Deployment/baas-mongodb,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-web-baas,Deployment/net-utils1,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-dev-web-baas,Deployment/otel-collector,1,0.0000,0.0000,0.0000,0.0000,SHARED
bab-ms-dev,Deployment/sme-loan-api-bld,0,0.0000,0.0000,0.0000,0.0000,SHARED
babamldev,Deployment/sas-migration-manager,0,0.1000,0.0879,0.0000,0.0000,SHARED
cert-manager,Deployment/cert-manager,1,0.0000,0.0000,0.0000,0.0000,SHARED
cert-manager,Deployment/cert-manager-cainjector,1,0.0000,0.0000,0.0000,0.0000,SHARED
cert-manager,Deployment/cert-manager-webhook,1,0.0000,0.0000,0.0000,0.0000,SHARED
ibm-common-services,Deployment/ibm-common-service-webhook,0,0.2000,0.2500,0.0000,0.0000,SHARED
kube-system,Deployment/sealed-secrets-controller,1,0.0000,0.0000,0.0000,0.0000,SHARED
mhm-dev,Deployment/cont-mhm-hello,3,0.0000,0.0000,0.0000,0.0000,SHARED
open-cluster-management-agent-addon,Deployment/application-manager,1,0.0000,0.2500,0.0000,0.2500,SHARED
open-cluster-management-agent-addon,Deployment/cert-policy-controller,1,0.0000,0.1465,0.0000,0.1465,SHARED
open-cluster-management-agent-addon,Deployment/cluster-proxy-proxy-agent,1,0.0000,0.0000,0.0000,0.0000,SHARED
open-cluster-management-agent-addon,Deployment/config-policy-controller,1,0.0000,0.1250,0.0000,0.1250,SHARED
open-cluster-management-agent-addon,Deployment/governance-policy-framework,1,0.0000,0.0625,0.0000,0.0625,SHARED
open-cluster-management-agent-addon,Deployment/klusterlet-addon-search,1,0.0000,0.1250,0.0000,0.1250,SHARED
open-cluster-management-agent-addon,Deployment/klusterlet-addon-workmgr,1,0.0000,0.1250,0.0000,0.1250,SHARED
