Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-dgpdpl-bigid-01,Deployment/bigid-ml-worker,1,0.5000,0.4883,0.5000,0.4883,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/informatica-edc,1,0.5000,0.2500,0.5000,0.2500,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-audit-manager,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-communication-manager,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-consents-manager,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-consumer-verification-manager,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-job-scheduler,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-report-service,1,0.5000,1.4648,0.5000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-settings-manager,1,0.5000,2.4414,0.5000,2.4414,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-workflow-management,1,0.5000,1.9531,0.5000,1.9531,SHARED
bab-dev-newbib,Deployment/azdo-agent,1,0.5000,0.5000,0.5000,0.5000,SHARED
bab-dev-rpa-apps-01,Deployment/aimetering,5,0.1000,0.0977,0.5000,0.4883,SHARED
bab-dev-rpa-apps-01,Deployment/aistorage-cleanup,1,0.5000,0.4883,0.5000,0.4883,SHARED
bab-dev-rpa-apps-01,Deployment/du-digitizer-cleanup,1,0.5000,0.2500,0.5000,0.2500,SHARED
