"SubscriptionId","Snapshots","TotalSizeGB","MonthlyCost","Deleted","Failed","Status"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","61","27273","1363.65","61","0","Completed"
"e48414cd-f96d-4414-ae9e-da7fec844f77","43","6498","324.90","0","0","Cancelled"
