"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DABABAPSPIWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DABABAPSPSWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DABABDBSQLWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DABABWBSPSWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DADOCAPIITWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DADOCAPIITWV2","BAB-SIT-SHP-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASHPAPSPIWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASHPAPWBIWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASHPAPWBSWV01","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASHPDBSQIWV1","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASHPDBSQSWV01","BAB-SIT-SHP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASMEWBMSSLV1","BAB-SIT-SME-LOAN-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASMEWBSLV1","BAB-SIT-SME-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASMSGWCOIWV2","BAB-SIT-SMSGW-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASMSGWDBIWV1","BAB-SIT-SMSGW-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASOSAPXXTWV1","BAB-SIT-SSS-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DASOSDBSQTWV1","BAB-SIT-SSS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24ADOAPSWV01","BAB-SIT-T24-DEVOPS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24ADOAPSWV02","BAB-SIT-T24-DEVOPS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24ADODBSWV01","BAB-SIT-T24-DEVOPS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV1","BAB-SIT-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV2","BAB-SIT-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV3","BAB-SIT-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV4","BAB-SIT-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV5","BAB-SIT-T24-SWEC-RG-01","Windows","No","Not Installed","N/A","N/A"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24DBSQSWV3","BAB-SIT-T24-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24APNTSWV4CL","BAB-SIT-T24-TEMP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"e48414cd-f96d-4414-ae9e-da7fec844f77","DAT24DBSQSWV2CL","BAB-SIT-T24-TEMP-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
