"SubscriptionId","ResourceGroup","MigrateProject","MachineName","TargetVMName","TargetResourceGroup","TargetLocation","ReplicationStatus","MigrationState","DiskCount","TotalDiskSizeGB","DiskDetails","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBDBORIWV2",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:26"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RRRDBORILV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:28"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MDWAPMQIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:29"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RRRDBORDLV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:31"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SAQAPWSDWV2",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:32"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2AMLAPWBIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:33"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IPSAPGWILV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:34"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MMPAPXXDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:35"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2APIDBSQIWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:36"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TCRDBSQIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:36"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBDBORTWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:37"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2CRMAPWBDWV3",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:38"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MQHAPQMILV2",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:38"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2NCRAPXXDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:40"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IBGAPWSDLV2",,,,"Paused","MigrationPartiallySucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:40"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BPMAPWSDWV6",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:41"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","d2emvdbordwv1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2OPSAPPJDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:43"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ETLAPDMIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:44"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2DHBDBSQDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:44"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MUBAPMGIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:45"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SHPAPWBIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:46"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BDMAPWBDWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:47"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MODAPERDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:48"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SHRWBSPDWV4",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:48"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D23DSWBIIDWV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:50"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SDBDBORULV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:51"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IAMAPDMDWV2",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:25:52"
