"SubscriptionId","SubscriptionName","VaultName","VaultResourceGroup","VaultLocation","MachineName","ReplicationHealth","ProtectionState","ProtectionStateDescription","ReplicationProvider","FabricName","ContainerName","DiskCount","TotalDiskSizeGB","CacheStorageGB","DiskDetails","MonthlyCostSavings","AnnualCostSavings","ASRInstanceCost","DiskStorageCost","LastRpoCalculatedTime","RpoInSeconds","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV2","Normal","UnplannedFailoverCommitted","Failover committed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","Dev-Mobl-BNK-DB-01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSAPWV03","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAPPIDBSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACRMAPFEWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DATFSAPOCDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHEA-14","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV4","Normal","UnplannedFailoverCommitted","Failover committed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSMWWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAAXIAPSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
