"SubscriptionId","ResourceGroup","MigrateProject","MachineName","TargetVMName","TargetResourceGroup","ReplicationStatus","DiskCount","TotalDiskSizeGB","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2BDMAPWBDWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MODAPERDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SHRWBSPDWV4",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D23DSWBIIDWV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SDBDBORULV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IAMAPDMDWV2",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2IBGADLDTWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2RMBAPWSILV1",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2EMVAPCIDWV1",,,"Paused","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFAAPMSDLV2",,,"Delta sync","0","0","Failed","Missing an argument for parameter 'ForceRemove'. Specify a parameter of type 'System.String' and try again.","2025-10-23 16:16:42"
