"SubscriptionId","SubscriptionName","VaultName","VaultResourceGroup","VaultLocation","MachineName","ReplicationHealth","ProtectionState","ProtectionStateDescription","ReplicationProvider","FabricName","ContainerName","DiskCount","TotalDiskSizeGB","CacheStorageGB","DiskDetails","MonthlyCostSavings","AnnualCostSavings","ASRInstanceCost","DiskStorageCost","LastRpoCalculatedTime","RpoInSeconds","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMODDBOCSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:30"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV5","Normal","UnplannedFailoverCommitted","Failover committed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:32"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACRMAPFEWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:34"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","SIT-Mobl-BNK-APP-01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:35"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV3","Normal","UnplannedFailoverCommitted","Failover committed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:36"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DEVAVDPHEA-11","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:37"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSMWWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:38"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DACASDBLV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:39"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPWBDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:40"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMLAPLV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:43"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMRSWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:44"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMRSWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:45"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSAPWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:46"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV1","Normal","UnplannedFailoverCommitted","Failover committed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:47"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPFEDBDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:48"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPDBSQOWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:50"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAAXIWBSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:51"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAIBMDBSLV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:52"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DATFSAPAIDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","Azure-to-Azure","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"Success","ASR replication stopped and replica disks deleted successfully","2025-10-23 18:13:53"
