vm_name,resource_group,vnet,vnet_rg,subnet,subnet_rg,subscription,vm_size,os_publisher,os_offer,os_sku,os_version,is_windows,storage_account,storage_account_container_name,storage_account_blob_name,storage_account_sas_token,dcr_rg,dcr_associate,custom_data,cloud_init_path,static_ip,tags,disk_lun_1,disk_name_1,storage_type_1,disk_size_gb_1,disk_lun_2,disk_name_2,storage_type_2,disk_size_gb_2,disk_lun_3,disk_name_3,storage_type_3,disk_size_gb_3
Test-vm1,Test-sit-terraform-rg02,bab-sit-nw-swec-vnet-nonpci-01,bab-sit-nw-swec-rg-01,snet-sit-nonpci-web-01,bab-sit-nw-swec-rg-01,e48414cd-f96d-4414-ae9e-da7fec844f77,Standard_B1ms,MicrosoftWindowsServer,WindowsServer,2019-Datacenter,latest,TRUE,babsitvmbootdiag02,windows-postconf-script,postconf-script.ps1,sp=r&st=2024-11-15T17:27:11Z&se=2024-11-16T01:27:11Z&spr=https&sv=2022-11-02&sr=c&sig=r%2BQya2bybtU8fVOyZwrMA1P4TxRckP8qYWMXJiUPNOc%3D,bab-sit-wrkspace-swec-rg-01,MSVMI-bab-sit-vm-monitoring-dcr,,,10.189.66.10,"""Environment""=""SIT"";""Owner""=""Ankoji"";""Company""=""BAB""",0,test-vm1-disk0,Standard_LRS,10,1,test-vm1-disk2,Standard_LRS,5,,,,
Test-vm2,Test-sit-terraform-rg02,bab-sit-nw-swec-vnet-nonpci-01,bab-sit-nw-swec-rg-01,snet-sit-nonpci-web-01,bab-sit-nw-swec-rg-01,e48414cd-f96d-4414-ae9e-da7fec844f77,Standard_B1ms,RedHat,RHEL,85-gen2,latest,FALSE,babsitvmbootdiag02,linux-disk-script,adding-Disk-v2.sh,sp=r&st=2024-11-15T17:27:42Z&se=2024-11-16T01:27:42Z&spr=https&sv=2022-11-02&sr=c&sig=Yep8Y6%2FlV8O7RHyUje1uF6jnzEVkzlTuKpDk%2BZgq7%2Bs%3D,bab-sit-wrkspace-swec-rg-01,MSVMI-bab-sit-vm-monitoring-dcr,,cloud-init.yaml,10.189.66.11,"""Environment""=""SIT"";""Owner""=""Ankoji"";""Company""=""BAB""",0,Test-vm2-disk0,Standard_LRS,10,1,Test-vm2-disk2,Standard_LRS,5,,,,
Test-vm3,Test-dev-terraform-rg01,bab-dev-nw-swec-vnet-nonpci-01,bab-dev-nw-swec-rg-01,snet-dev-nonpci-web-01,bab-dev-nw-swec-rg-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,Standard_B1ms,MicrosoftWindowsServer,WindowsServer,2019-Datacenter,latest,TRUE,babdevvmbootdiag02,windows-postconf-script,postconf-script.ps1,sp=r&st=2024-11-15T17:26:28Z&se=2024-11-16T01:26:28Z&spr=https&sv=2022-11-02&sr=c&sig=W0h9idQkdFvdEw9a3Udto%2Fu%2F9lhMD%2BTo3%2FE%2BNDCS8ic%3D,bab-dev-wrkspace-swec-rg-01,MSVMI-bab-dev-vm-insights-dcr,,,10.189.56.10,"""Environment""=""DEV"";""Owner""=""Ankoji"";""Company""=""BAB""",0,Test-vm3-disk0,Standard_LRS,10,1,Test-vm3-disk2,Standard_LRS,5,,,,
