vmName,resourceGroup,subscription,recoveryResourceGroupId,recoveryContainerId,recoveryAzureNetworkId,recoverySubnetName
DAHRMWBDWV1,dev-hrmobile-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-hrm-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-web-01
DAMBSSAPSWV03,dev-mbss-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-mbss-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-nw-weeu-rg-01/providers/Microsoft.Network/virtualNetworks/bab-core-nw-weeu-vnet-dmz-01,snet-dmz-shared-app-01
Dev-Mobl-BNK-APP-01,dev-mobile-banking-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-web-01
Dev-Mobl-BNK-DB-01,dev-mobile-banking-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
Dev-Mobl-BNK-Web-01,dev-mobile-banking-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-web-01
SIT-Mobl-BNK-APP-01,dev-mobile-banking-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/e48414cd-f96d-4414-ae9e-da7fec844f77/resourceGroups/bab-sit-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-sit-nw-swec-vnet-nonpci-01,snet-sit-nonpci-web-01
SIT-Mobl-BNK-DB-01,dev-mobile-banking-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/e48414cd-f96d-4414-ae9e-da7fec844f77/resourceGroups/bab-sit-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-sit-nw-swec-vnet-nonpci-01,snet-sit-nonpci-app-01
DARMBAPSQDLV1,dev-rmb-devops-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-devops-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DARMBDOPLDLV1,dev-rmb-devops-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-devops-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DARMBDOPLDLV2,dev-rmb-devops-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-rmb-devops-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
