"ProposedLogicApp","ExistingLogicApps","VmCount","VMs","Result","Backup","Error"
"bab-dev-saqr-appweb-start-01","ststv2_saqar-dev_vms_Scheduled_start","2","DASAQAPWSDWV2;DASAQWBWSDWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_saqar-dev_vms_Scheduled_start-20260830-230520.json",""
"bab-dev-saqr-db-start-01","ststv2_saqar-dev_vms_Scheduled_start","1","DASAQDBORDLV03","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_saqar-dev_vms_Scheduled_start-20260830-230530.json",""
"bab-dev-sas-appweb-start-01","ststv2_sas_dev_vms_Scheduled_start","4","DASASAPAISLV1;DASASAPODELV1;DASASAPPWBSLV1;DASASWBRESLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_sas_dev_vms_Scheduled_start-20260830-230541.json",""
"bab-dev-sas-db-start-01","ststv2_sas-db_dev_vms_Scheduled_start","1","DASASDBMEHLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_sas-db_dev_vms_Scheduled_start-20260830-230552.json",""
"bab-dev-scf-appweb-start-01","ststv2_scf_dev_vms_Scheduled_start","1","DASCFWBISDWV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_scf_dev_vms_Scheduled_start-20260830-230604.json",""
"bab-dev-scf-db-start-01","ststv2_scf_dev_vms_Scheduled_start","1","DASCFDBSQDWV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_scf_dev_vms_Scheduled_start-20260830-230618.json",""
"bab-dev-shp-appweb-start-01","bab-shp-dev_vmstart_vms_Scheduled_appweb","3","DADOCAPIIDWV2;DASHPAPFEOWV1;DASHPAPFEWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-shp-dev_vmstart_vms_Scheduled_appweb-20260830-230629.json",""
"bab-dev-shp-appweb-start-02","ststv2_shp_dev_vms_Scheduled_start","1","DASHPWBDWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_shp_dev_vms_Scheduled_start-20260830-230641.json",""
"bab-dev-shp-db-start-01","bab-shp-dev_vms_Scheduled_db","3","dashpdbsqowv1-Restore;DASHPDBSQWV1;DASHPFEDBDWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-shp-dev_vms_Scheduled_db-20260830-230652.json",""
"bab-dev-shp-db-start-02","ststv2_shp_dev_vms_Scheduled_start_DB","1","DASHPDBSQDWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_shp_dev_vms_Scheduled_start_DB-20260830-230702.json",""
"bab-dev-slm-appweb-start-01","bab-slm-dev_vms_Scheduled_appweb","1","DASLMAPINDLV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-slm-dev_vms_Scheduled_appweb-20260830-230713.json",""
"bab-dev-slm-db-start-01","bab-slm-dev_vms_Scheduled_db","1","DASLMDBSQLLV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-slm-dev_vms_Scheduled_db-20260830-230723.json",""
"bab-dev-sme-loan-appweb-start-01","ststv2_vms_Scheduled_start_sme","1","DASMEWBMSDLV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_vms_Scheduled_start_sme-20260830-230733.json",""
"bab-dev-smsgw-db-start-01","bab-smsgw-dev_vms_Scheduled_db","1","DASMSGWCODWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab-smsgw-dev_vms_Scheduled_db-20260830-230744.json",""
