Deployment	bab-dev-cp4i	download-sadad-billers-is	1	300m	368Mi		
Deployment	bab-dev-cp4i	dummy-is	1	300m	368Mi		
Deployment	bab-dev-cp4i	get-billers-list-is	1	500m	512Mi		
Deployment	bab-dev-cp4i	get-charge-card-list-is	1	300m	368Mi		
Deployment	bab-dev-cp4i	get-cust-accts-list-is	1	300m	368Mi		
Deployment	bab-dev-cp4i	get-moi-service-fee-is	0	300m	368Mi		
Deployment	bab-dev-cp4i	get-yakeen-info-is	0	300m	368Mi		
Deployment	bab-dev-cp4i	ibm-apiconnect	1	75m	128Mi	75m	128Mi
Deployment	bab-dev-cp4i	ibm-appconnect-operator	1	100m	128Mi		
Deployment	bab-dev-cp4i	ibm-common-service-operator	1	100m	200Mi		
Deployment	bab-dev-cp4i	ibm-integration-platform-navigator-operator	1	200m	1Gi	200m	256Mi
Deployment	bab-dev-cp4i	ibm-mq-operator	1	1	1Gi		
Deployment	bab-dev-cp4i	integration-navigator-ibm-inte-3c22-deployment	1	500m;500m	512Mi;512Mi		
Deployment	bab-dev-cp4i	logger-is	0	300m	368Mi		
Deployment	bab-dev-cp4i	mq-test-is	1	500m	512Mi		
Deployment	bab-dev-cp4i	operand-deployment-lifecycle-manager	1	200m	200Mi		
Deployment	bab-dev-cp4i	postgresql-operator-controller-manager-1-22-8	1	500m	200Mi		
Deployment	bab-dev-cp4i	rhbk-operator	1	300m	450Mi		
Deployment	bab-dev-dgpdpl-bigid-01	bigid-aci	1	250m	256Mi	50m;50m;50m;50m;50m;50m	256Mi;256Mi;256Mi;256Mi;256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-action-center	1	250m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-collaboration	1	50m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-config-service	1	250m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-corr-new	1	250m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-data-catalog	1	250m	256Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-me-agent	1	1	3Gi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-metadata-search	1	250m	256Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-ml-gw	1	500m	500Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-ml-scheduler	1	250m	500Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-ml-worker	1	500m	500Mi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-orch	1	250m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-orch2	1	250m	256Mi	50m;50m	256Mi;256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-pia	1	150m	50Mi		
Deployment	bab-dev-dgpdpl-bigid-01	bigid-remediation-batch	1	250m	1Gi		
Deployment	bab-dev-dgpdpl-bigid-01	bigid-remediation-ui-bff	1	250m	1Gi		
Deployment	bab-dev-dgpdpl-bigid-01	bigid-reports	1	1	1Gi	50m	256Mi
Deployment	bab-dev-dgpdpl-bigid-01	bigid-ropa	1	150m	50Mi		
